6006557,1999,14606,1997,"US","CA",741018,2,,70,6,65,160,0,0.8313,,0.5965,,24.725,0,0,,,33	
6006564,1999,14606,1998,"US","OH",693102,2,,72,5,52,8,0,1,,0.5313,,16,0,0,,,0	
6006571,1999,14606,1998,"TW","",,1,,72,5,52,5,0,1,,0.64,,10.6,,,,,0	
6006578,1999,14606,1998,"DE","",,1,,72,5,52,2,0,0.5,,0,,36,,,,,0	
6006585,1999,14606,1998,"CH","",96675,3,,73,4,43,18,0,1,,0.7037,,15.7222,0.1111,0.0556,,,0	
6006592,1999,14606,1999,"JP","",303160,3,,73,4,43,6,0,1,,0,,4.1667,0.3333,0.3333,,,0	
6006599,1999,14606,1998,"DE","",739701,3,,73,4,43,0,0,,,,,,,,,,0	
6006606,1999,14606,1997,"JP","",740171,3,,73,4,43,6,0,1,,0.5,,7.6667,0,0,,,0	
6006613,1999,14606,1997,"US","MI",587660,2,,73,4,43,4,0,1,,0.375,,7.75,1,0.75,,,3	
6006620,1999,14606,1997,"US","MI",103580,2,,74,5,59,26,0,0.9231,,0.7986,,10.5385,0.0476,0.0385,,,6	
6006627,1999,14606,1998,"JP","",256400,3,,74,5,59,4,0,1,,0.625,,0.75,0,0,,,0	
6006634,1999,14606,1997,"US","MN",,1,,81,5,59,12,0,1,,0.375,,10.4167,,,,,0	
6006641,1999,14606,1997,"US","IL",,1,,83,5,51,16,0,0.9375,,0.5244,,17.875,,,,,0	
6006648,1999,14606,1998,"DE","",741387,2,,91,5,53,2,0,1,,0.5,,5,0,0,,,0	
6006655,1999,14606,1998,"DE","",74130,3,,99,6,61,7,0,0.4286,,0,,50.5714,0,0,,,0	
6006662,1999,14606,1998,"JP","",318840,3,,101,6,69,4,0,1,,0,,3.25,0.5,0.5,,,0	
6006669,1999,14606,1998,"US","WI",261425,2,,101,6,69,17,0,1,,0.7682,,11.9412,0.1,0.0588,,,1	
6006676,1999,14606,1998,"US","OH",633735,2,,108,6,69,10,0,0.8,,0.5313,,22.3,0,0,,,1	
6006683,1999,14606,1998,"FI","",737018,3,,110,6,66,9,0,1,,0.4444,,14.1111,0,0,,,0	
6006690,1999,14606,1997,"FR","",640970,3,,114,5,55,1,0,1,,0,,9,0,0,,,0	
6006697,1999,14606,1999,"US","WI",,1,,119,6,61,3,0,0.6667,,0,,24.6667,,,,,0	
6006704,1999,14606,1997,"US","TN",448465,2,,123,5,53,113,0,1,,0.4918,,9.0088,0,0,,,0	
6006711,1999,14606,1998,"JP","",404925,3,,123,5,53,3,0,1,,0.4444,,11.6667,0,0,,,0	
6006718,1999,14606,1998,"JP","",404330,3,,123,5,53,8,0,1,,0.2188,,3.75,0,0,,,0	
6006725,1999,14606,1998,"US","MI",731510,2,,123,5,53,6,0,1,,0.2778,,5.1667,0.1667,0.1667,,,3	
6006732,1999,14606,1998,"US","IL",395210,2,,123,5,53,11,0,0.8182,,0.642,,20,0,0,,,0	
6006739,1999,14606,1999,"US","ID",373440,2,,125,5,51,31,0,0.9355,,0.78,,13.5806,0.12,0.0968,,,3	
6006746,1999,14606,1998,"US","CA",,1,,128,3,32,5,0,0.8,,0,,9.2,,,,,1	
6006753,1999,14606,1997,"SE","",170335,2,,128,3,32,4,0,1,,0,,5,0.3333,0.25,,,0	
6006760,1999,14606,1995,"US","MD",,1,,132,6,65,25,0,0.64,,0.8047,,35.08,,,,,1	
6006767,1999,14606,1998,"US","OH",730229,2,,134,6,69,20,0,0.95,,0.4377,,20.4,0.0833,0.05,,,5	
6006774,1999,14606,1994,"US","PA",763029,2,,137,6,69,6,0,1,,0.7222,,10.3333,0,0,,,2	
6006781,1999,14606,1998,"US","IA",429930,2,,137,6,69,10,0,1,,0.6,,15,0.3333,0.3,,,3	
6006788,1999,14606,1998,"FR","",110005,3,,138,6,67,4,0,0.75,,0,,15.5,0.5,0.25,,,0	
6006795,1999,14606,1998,"IT","",,1,,139,6,63,3,0,1,,0.4444,,8,,,,,0	
6006802,1999,14606,1997,"US","TN",448465,2,,144,5,51,22,0,0.8182,,0.5185,,19.5909,0.1875,0.1364,,,3	
6006809,1999,14606,1998,"US","OH",763034,2,,160,6,69,16,0,0.875,,0.4694,,16.8125,0,0,,,1	
6006816,1999,14606,1998,"US","FL",,1,,160,6,69,3,0,1,,0.4444,,7,,,,,1	
6006823,1999,14606,1998,"RU","",,1,,165,6,66,3,0,1,,0.4444,,22,,,,,0	
6006830,1999,14606,1998,"GB","",744586,3,,166,6,64,3,0,0.6667,,0,,25.6667,0,0,,,0	
6006837,1999,14606,1997,"US","OK",85650,2,,166,6,64,4,0,0.75,,0,,17.75,0,0,,,2	
6006844,1999,14606,1996,"US","TX",51205,2,,175,6,64,35,0,0.8857,,0.2352,,13.4286,0.1852,0.1429,,,6	
6006851,1999,14606,1997,"US","CA",,1,,180,5,55,5,0,1,,0.48,,5.2,,,,,0	
6006858,1999,14606,1999,"JP","",75430,3,,181,6,69,2,0,1,,0.5,,1.5,1,1,,,0	
6006865,1999,14606,1997,"CH","",283895,3,,187,5,55,1,0,1,,0,,36,0,0,,,0	
6006872,1999,14606,1997,"JP","",318570,3,,188,5,53,11,0,1,,0.562,,14.1818,0,0,,,0	
6006879,1999,14606,1999,"DE","",742643,3,,192,5,53,3,0,1,,0.4444,,7,0,0,,,0	
6006886,1999,14606,1998,"DE","",742643,3,,192,5,53,5,0,0.8,,0.5,,11.8,0,0,,,0	
6006893,1999,14606,1997,"US","CA",738272,2,,198,5,59,22,0,0.9091,,0.495,,18.9091,0,0,,,4	
6006900,1999,14606,1998,"US","IN",,1,,206,6,68,5,0,0.2,,0,,45.6,,,,,0	
6006907,1999,14606,1996,"JP","",211155,3,,206,6,68,11,0,0.8182,,0.3457,,24.2727,0.1667,0.0909,,,0	
6006914,1999,14606,1998,"US","AL",,1,,206,6,68,10,0,1,,0.78,,6,,,,,0	
6006921,1999,14606,1998,"US","ID",763052,2,,209,5,51,8,0,0.875,,0.4898,,15.375,0,0,,,1	
6006928,1999,14606,1998,"US","AZ",593050,2,,211,6,65,11,0,0.5455,,0.6667,,30.6364,0,0,,,0	
6006935,1999,14606,1998,"GB","",,1,,220,6,68,4,0,1,,0.625,,21.75,,,,,0	
6006942,1999,14606,1997,"US","TN",380695,2,,220,6,68,34,0,0.7647,,0.5769,,24.5,0,0,,,4	
6006949,1999,14606,1998,"US","MO",745715,2,,222,1,19,13,0,1,,0.3787,,8.3846,0,0,,,1	
6006956,1999,14606,1997,"US","TX",757953,2,,222,1,19,3,0,0.6667,,0.5,,31.6667,0,0,,,0	
